Term,Category,WordBank,Lexical_Class
asleep,descriptive_words,0.46,Adjective
awake,descriptive_words,0.35,Adjective
bad,descriptive_words,0.4,Adjective
better,descriptive_words,0.27,Adjective
big,descriptive_words,0.61,Adjective
black,descriptive_words,0.39,Adjective
blue,descriptive_words,0.61,Adjective
broken,descriptive_words,0.54,Adjective
brown,descriptive_words,0.34,Adjective
careful,descriptive_words,0.32,Adjective
clean,descriptive_words,0.51,Adjective
cold,descriptive_words,0.68,Adjective
cute,descriptive_words,0.31,Adjective
dark,descriptive_words,0.38,Adjective
dirty,descriptive_words,0.59,Adjective
dry,descriptive_words,0.32,Adjective
empty,descriptive_words,0.36,Adjective
fast,descriptive_words,0.4,Adjective
fine,descriptive_words,0.14,Adjective
first,descriptive_words,0.17,Adjective
full,descriptive_words,0.27,Adjective
gentle,descriptive_words,0.32,Adjective
good,descriptive_words,0.47,Adjective
green,descriptive_words,0.49,Adjective
happy,descriptive_words,0.5,Adjective
hard,descriptive_words,0.24,Adjective
heavy,descriptive_words,0.43,Adjective
high,descriptive_words,0.32,Adjective
hot,descriptive_words,0.75,Adjective
hungry,descriptive_words,0.46,Adjective
hurt,descriptive_words,0.44,Adjective
last,descriptive_words,0.09,Adjective
little,descriptive_words,0.38,Adjective
long,descriptive_words,0.14,Adjective
loud,descriptive_words,0.34,Adjective
mad,descriptive_words,0.23,Adjective
naughty,descriptive_words,0.14,Adjective
new,descriptive_words,0.22,Adjective
nice,descriptive_words,0.38,Adjective
noisy,descriptive_words,0.23,Adjective
old,descriptive_words,0.16,Adjective
orange,descriptive_words,0.49,Adjective
poor,descriptive_words,0.06,Adjective
pretty,descriptive_words,0.38,Adjective
quiet,descriptive_words,0.33,Adjective
red,descriptive_words,0.51,Adjective
sad,descriptive_words,0.37,Adjective
scared,descriptive_words,0.3,Adjective
sick,descriptive_words,0.28,Adjective
sleepy,descriptive_words,0.38,Adjective
slow,descriptive_words,0.21,Adjective
soft,descriptive_words,0.34,Adjective
sticky,descriptive_words,0.32,Adjective
stuck,descriptive_words,0.37,Adjective
thirsty,descriptive_words,0.36,Adjective
tiny,descriptive_words,0.16,Adjective
tired,descriptive_words,0.36,Adjective
wet,descriptive_words,0.57,Adjective
white,descriptive_words,0.34,Adjective
windy,descriptive_words,0.3,Adjective
yellow,descriptive_words,0.52,Adjective
yucky,descriptive_words,0.55,Adjective
after,time_words,0.17,Function
before,time_words,0.08,Function
day,time_words,0.22,Noun
later,time_words,0.25,Function
morning,time_words,0.29,Noun
night,time_words,0.44,Noun
now,time_words,0.35,Function
time,time_words,0.11,Noun
today,time_words,0.18,Noun
tomorrow,time_words,0.18,Noun
he,pronouns,0.2,Function
her,pronouns,0.14,Function
